File,Tremor_Energy,Mixed_Energy,Fracture_Energy
AU.MCQ.00.BHE.M.2025.210.233658.SAC,43.24203006375303,29.99707033383583,19.98405956038661
AU.MCQ.00.BHN.M.2025.210.233658.SAC,46.57458618631472,21.75367995121904,20.549536714673327
AU.MCQ.00.BHZ.M.2025.210.233658.SAC,62.43766102522464,15.67304474044496,9.76893435130971
IU.CASY.00.BH1.M.2025.210.233816.SAC,62.51812556470511,4.974674662806324,0.0
IU.CASY.00.BH2.M.2025.210.233816.SAC,63.05000516541106,5.752333411287468,0.0
IU.CASY.00.BHZ.M.2025.210.233816.SAC,64.83589681125623,1.830330411567613,0.0
IU.CASY.10.BH1.M.2025.210.233816.SAC,60.00859601343277,7.881390720797117,0.7675308195571667
IU.CASY.10.BH2.M.2025.210.233816.SAC,60.51897154583877,8.712501292205383,0.7317801039431987
IU.CASY.10.BHZ.M.2025.210.233816.SAC,63.79602313083523,3.0758667312546937,0.3176995205133133
IU.PMSA.00.BH1.M.2025.210.234234.SAC,72.84716507939036,3.7653072484869177,0.0
IU.PMSA.00.BH2.M.2025.210.234234.SAC,68.19289193196803,2.680441512401598,0.0
IU.PMSA.10.BH1.M.2025.210.234234.SAC,68.38681717185318,8.258843883042577,1.468046789709844
IU.PMSA.10.BH2.M.2025.210.234234.SAC,65.34267571182903,5.340363572935068,1.3162072689063524
IU.PMSA.10.BHZ.M.2025.210.234234.SAC,66.87841430295872,3.1947559492145463,0.7448248307257488
IU.RCBR.00.BH1.M.2025.210.233849.SAC,61.13328099971941,2.464119629578573,0.0
IU.RCBR.00.BH2.M.2025.210.233849.SAC,49.89945297259101,1.5285219618152788,0.0
IU.RCBR.00.BHZ.M.2025.210.233849.SAC,59.3183411781628,1.903153128057233,0.0
IU.RCBR.10.BH1.M.2025.210.233849.SAC,55.69191342784278,7.751843561989783,0.3335075370222351
IU.RCBR.10.BH2.M.2025.210.233849.SAC,47.66935432388839,43.81588749534116,5.759595443429385
IU.RCBR.10.BHZ.M.2025.210.233849.SAC,44.65504227771347,46.22228356633495,6.694626081897807
